Date,Name,Make,Payment Type,City,Charge
06/01/2014,Janene Thakkar,Nissan,Credit,Bloomington,$50.15
06/01/2014,Mathew Axford,Lexus,Debit,Indianapolis,$80.25
06/02/2014,Delfina Grunwald,Fiat,Other,Fort Wayne,$181.42
06/02/2014,Colene Brockett,Hyundai,Cash,Indianapolis,$118.75
06/02/2014,Autumn Man,Toyota,Other,Columbus,$156.34
06/02/2014,Pa Rhoten,Fiat,Credit,Fort Wayne,$75.83
06/02/2014,Katelyn Butterworth,Ford,Credit,Lafayette,$129.77
06/02/2014,Harriet Ritchie,Toyota,Cash,Muncie,$134.25
06/02/2014,Judith Elgin,Ford,Credit,Indianapolis,$219.61
06/03/2014,Javier Ates,Ford,Credit,Fort Wayne,$165.39
06/03/2014,Jenine Hudec,Toyota,Debit,Indianapolis,$147.19
06/03/2014,Remona Summerlin,Honda,Credit,Fort Wayne,$147.20
06/03/2014,Walker Svendsen,Subaru,Credit,Kokomo,$98.32
06/03/2014,Mozelle Jorgensen,Fiat,Other,Indianapolis,$173.70
06/03/2014,Shawn Hewlett,Nissan,Debit,Lafayette,$238.39
06/03/2014,Sheilah Klemm,Nissan,Cash,Indianapolis,$287.81
06/04/2014,Kellye Schumacher,Hyundai,Credit,Columbus,$150.92
06/04/2014,Marlys Hilty,Nissan,Debit,Indianapolis,$135.12
06/04/2014,Marge Mcgavock,Chevrolet,Credit,Bloomington,$73.10
06/04/2014,Kiyoko Beckwith,Subaru,Credit,Bloomington,$108.53
06/04/2014,Bonnie Vankleeck,Toyota,Other,Columbus,$154.78
06/04/2014,Martina Colbert,Suzuki,Other,Bloomington,$185.25
06/04/2014,Mable Meas,Subaru,Credit,Terre Haute,$226.58
06/04/2014,Arletha Cazarez,Fiat,Credit,Lafayette,$237.60
06/05/2014,Bell Emery,Suzuki,Debit,Kokomo,$70.86
06/05/2014,Brock Deckman,Nissan,Debit,Lafayette,$140.33
06/05/2014,Velia Mcdougle,Ford,Other,Bloomington,$88.33
06/05/2014,Irving Laliberte,Toyota,Credit,Lafayette,$203.41
06/05/2014,Celeste Lacroix,Ford,Cash,Indianapolis,$661.2
06/06/2014,Levi Melius,Lexus,Credit,Fort Wayne,$190.46
06/06/2014,Elbert Reach,Honda,Cash,Columbus,$98.37
06/06/2014,Evelin Arnot,Fiat,Credit,Kokomo,$113.40
06/06/2014,Florinda Bhatt,Suzuki,Other,Indianapolis,$147.38
06/06/2014,Arden Esser,Hyundai,Credit,Indianapolis,$150.38
06/06/2014,Jess Dubuisson,Fiat,Credit,Lafayette,$154.95
06/06/2014,Maud Cirillo,Toyota,Credit,Fort Wayne,$150.99
06/06/2014,Eleonor Sylvester,Chevrolet,Other,Fort Wayne,$170.14
06/06/2014,Shanti Dowling,Chevrolet,Credit,Fort Wayne,$58.54
06/06/2014,Collen Rhymer,Toyota,Other,Lafayette,$222.5
06/06/2014,Joannie Albro,Subaru,Credit,Lafayette,$673.25
06/06/2014,Haley Aziz,Chevrolet,Cash,Indianapolis,$451.30
06/07/2014,Kamala Sliter,Toyota,Credit,Fort Wayne,$89.76
06/07/2014,Leah Rohde,Chevrolet,Debit,Indianapolis,$259.20
06/07/2014,Lili Bohon,Fiat,Credit,Indianapolis,$111.3
06/07/2014,Lashawna Stoneman,Suzuki,Other,Indianapolis,$124.57
